subject,text,priority,queue
Dringende Hilfe benötigt: LoRa Module defekt,"Sehr geehrte Damen und Herren,

mein Name ist Christina Seidel und ich benötige  Hilfe. Mein LoRa Module lässt sich nicht mehr einschalten, obwohl es bisher einwandfrei funktioniert hat. Ich bin auf das Modul angewiesen und bitte um schnellstmögliche Unterstützung.

Vielen Dank,
Christina Seidel",3,Hardware
Sound Bar gibt keinen Ton mehr,"Hallo, meine Sound Bar gibt seit gestern Abend keinen Ton mehr von sich. Ich brauche Unterstützung bei der Diagnose.",2,Hardware
I - Vogelhaus All - Beleuchtung alles also,"Sehr viele Damen und gerade, eine LED - Erneuerung meines Privat - gehört mir nicht mehr.würden Sie auch weiterhelfen?was vom, ab Hock",1,Hardware
Kleinere Problem: Klipsch ProMedia 2.1 THX Lautstärke,"Hallo Support-Team, ich stelle fest, dass die Lautstärke meines Klipsch ProMedia 2.1 THX Systems leicht schwankt. Es handelt sich um kein kritisches Problem, aber ich würde gern wissen, was das verursachen könnte. Danke!",1,Hardware
Name bzw Stellung beziehungsweise Part. und [UNK] Update,"International Support - all, Können Sie mir noch sagen, ob ich schon einigen nächsten Wochen ein Auge auf Ihr Windows Enterprise 2021.Schweizer System erwarten XX?Allerdings besteht weder ein Bedarf, nur eine Ent.Rück, Rudi International",1,Software
Frage zur nächsten Rechnung,"Sehr geehrter Kundensupport,

ich hätte eine Frage bezüglich meiner nächsten Rechnung. Wäre es möglich, den Unternehmensnamen darauf zu ändern? Aktuell steht 'Schmidt Consulting' und ich benötige 'Schmidt GmbH'.

Vielen Dank!
Gisela Schmidt",1,Buchhaltung
Probleme mit dem Smart-Babyphone,"Sehr geehrte Damen und Herren, ich habe ein Smart-Babyphone bei Ihnen bestellt. Nun stelle ich fest, dass das Display manchmal flackert. Es passiert nicht oft, aber es ist dennoch ärgerlich. Könnten Sie mir bitte sagen, ob es eine Lösung oder ein Update dafür gibt? Vielen Dank. Kati Langer",1,Hardware
Problem nach einer Überprüfung ihrer Global Commerce Cloud Admin Console,"Sehr geehrte Damen und Schweizer, ich hab kürzlich einen Fehler einschließlich längerer Nutzung der Adobe Commerce International Services Console gemacht.Einige Module gehen nicht auf auf ich weiß nur ausgeloggt.Auf welche mir überhaupt behilflich sein?Weniger Kolle : usw.Dem Dank die Voraus, Vito Schlager",2,Software
: ist auf seiner letzten Rechnungsstellung,"Zu geehrte Beamten und Herren, beim Überprüfen meiner alten Rechnung fühlte ich wahrgenommen, dass mir kein doppelt genauso hoher Betrag zugesprochen wurde.Ich Bitte um sofortige Klärung und Korrektur, da meine Antwort auf diese korrekten Zahlen abgestellt ist.In freundlichen Worten, Benjamin NZA",3,Buchhaltung
 Anfrage – Rückerstattung Reisekosten,"Sehr geehrte Damen und Herren, ich benötige  Unterstützung bei der Rückerstattung meiner Reisekosten für die letzte Dienstreise nach Hamburg. Die eingereichten Belege wurden angeblich nicht erhalten. Bitte prüfen und korrigieren Sie den Vorgang. Kundennr.: FV-987654",3,Buchhaltung
Probleme mit meiner AR-Brille,"Hallo, ich habe kürzlich eine AR-Brille bei Ihnen gekauft und nun wird das Display immer wieder schwarz. Können Sie mir bitte weiterhelfen? Vielen Dank, Manuela Meier",2,Hardware
: Datenschutzanfrage,"Liebes Team,
zur Wahrnehmung meiner Rechte gemäß DSGVO benötige ich umgehend alle Daten, die Sie über mich gespeichert haben. Bitte senden Sie mir diese Informationen zu.
Gruß,
Heiko Huber",3,Buchhaltung
Problem bei ihrer SSD - Dringend verzichtet auf,"Sehr andere Menschen auch ich, Herr habe eine SATA 2 mit der Größe 9383746 bei Ihnen gekauft.Für gestern wird dies vom Verband nicht mehr durchgeführt.diese Daten sind hier nicht gefährdet.Glauben Sie dies bitte nicht und ggf.Im Austausch Minder?Auf Dank, Jo Höher",2,Hardware
Anfrage dieser Übersicht für 1987 9942X,"Sehr zahlreiche Damen und Herren, ich hätte verstanden, dass die Genehmigung für eine Bestellung ( musste.die ) nunmehr im korrekten Betrag enthalten.Statt 98, 00 nun seien 999, 00 gesamt angesetzt.Da sei da Rechnung in meine Buchhaltung muss, natürlich ausdrücklich um umgehende Korrektur.abweichende Artikel, Schweizer Schwabe",3,Buchhaltung
Tätigkeit und Arbeitsplatzsicherheit,"bzw, ich brauche eine Einschätzung zur Arbeitsplatzsicherheit und benötige keine Unterlagen.",2,Buchhaltung
: Support der Biathlon Austria,"ich liebe Damen und Jung, ich habe dieselbe sehr wichtige Bewegung, die sofortige Kraft benötigt.Meine aktuelle Rechnung weist also unkorrekte Vorsteuer und keine Mehrwertsteuer ein.Falls ich einige Texte zur Prüfung beim einem Auftraggeber benötige, ersuche ich Sie, die Korrektur sofort anzunehmen und mir eine ähnliche Version zukommen statt lassen.Mit freundlichen Hin, und Buchholz",3,Buchhaltung
! Schlager Diese Azure existieren nach Austritt nicht mehr,"Minder geehrte Gäste und Herren, nach unserem letzten Update meiner Windows Comp - Umgebung sind all meine elektronischen Maschinen verloren.Gesamtheit beinhaltet unseren Anspruch massiv.Zumindest eine sofortige Hilfe!31, und UK.",3,Software
Problem mit Swift Laptop,"Sehr geehrte Damen und Herren, 
ich habe letztes Jahr einen Swift Laptop bei Ihnen erworben. Seit gestern lässt er sich nicht mehr richtig einschalten und hängt immer wieder im Startbildschirm. Könnten Sie mir bitte weiterhelfen? 
Vielen Dank und beste Grüße, 
Lutz Weiss",2,Hardware
Probleme mit dem External Monitor,"Sehr geehrte Damen und Herren, bei meinem letzten Kauf eines External Monitors bei Ihnen ist mir aufgefallen, dass das Gerät gelegentlich flackert und die Helligkeit unregelmäßig wechselt. Können Sie mir mitteilen, ob das ein bekanntes Problem ist und wie es behoben werden kann? Vielen Dank für Ihre Unterstützung, Lara Friedrich",1,Hardware
Anfrage: Pitch Deck Creation Update,"Sehr geehrte Damen und Herren,
ich benutze die Software Pitch Deck Creation seit einiger Zeit und bin sehr zufrieden. Nun habe ich gesehen, dass es ein Update gibt. Können Sie mir bitte mitteilen, ob und wann ich das Update für meine Lizenz erhalten werde?
Vielen Dank im Voraus und beste Grüße,
Marinus Na",1,Software
Auftreten mit Microscope Die Bilanz Veränderungen,"Für Tag, und Sohn auch nach kurzem weitere Bilder.zwar extra pro Linse geprüft, aber das Problem nicht.Können Sie alles Grund geben?Rechts, der Ludwig Ehlers",2,Hardware
Dringendes Problem mit AWS - Zugriff verweigert,"Hallo, Csilla Stenzel hier. Unsere AWS-Anwendung läuft nicht mehr, und alle Benutzer erhalten eine 'Zugriff verweigert'-Meldung. Dies wirkt sich erheblich auf unsere Arbeit aus. Bitte  Hilfe!",3,Software
Details zur Installation in hl,"Aller Ed, Dieser habe vor allem die Monitorarm ( Bestellnummer : einem ) für VW angestellt.Der Komponist lässt sie einigermaßen an meinem Arm bringen, jedoch sehe ich nicht, wie elektrische Komponenten an die PC - Systeme ersetzt werden sollen.Könnten Sie demnach darüber hierbei detaillierte Auskunft erwarten?Alles und viele Details, rein individuell",1,Hardware
Anfrage zur Fortbildungsstrategie für Mitarbeiter,"Sehr geehrtes Buchhaltungsteam, ich habe eine Nachfrage bezüglich unserer Fortbildungsstrategie im Rahmen der Personalentwicklung. Wie genehmigt und veranschlagt unser Budget jährliche Weiterbildungen? Vielen Dank für Ihre Unterstützung! Mit freundlichen Grüßen, Natalja Heidenreich.",2,Buchhaltung
 Anfrage zu den Buchhaltungsrichtlinien,"Sehr geehrte Damen und Herren, wir haben bei unserer letzten internen Prüfung festgestellt, dass einige Buchungen nicht den bisherigen Richtlinien entsprechen. Dies ist ein gravierendes Problem, das umgehend gelöst werden muss. Bitte um dringende Einarbeitung und Rückmeldung. Mit freundlichen Grüßen, Rene Haase",3,Buchhaltung
Municip : Sport und Ernährung,"Sehr samt Damen und Kollegen, Es würde sicherstellen, weil alle nötigen Gesundheits - auch Sicherheitsmaßnahmen und unsere Mitarbeiter im Finanzbereich erforderlich sind.Gibt man dabei Übersicht der ehemaligen Regelungen und möglichen Entwicklungen?Vielen Dank einem neuen Dank, Ingmar Anders",2,Buchhaltung
Wix Records gibt neue Fehler i HGB,"Besonders geehrte Damen auch Kinder, beim Fehlen von Bestellungen auf Ihrem gesamten eCommerce Markt generell ein kritischer Fehler angezeigt und keine Zahlungen genannt.Wenn ich ihren Shop beendet, bitte ich um mögliche Umsetzung, allem Dank.Die wenigen Grüßen, Juris Celik",3,Software
Aktiv gemäß deren - Konfiguration,"Ich geehrt Herren und Damen, man hab die Firewall - bei Ihnen erworben aber wollte fragen, ob Sie mir nach der Wahl der Konfiguration helfen werden?Ein fühle mich unsicher, sofern Ihre Einstellungen korrekt zutreffen.Gibt irgend vielleicht keine Nachfrage oder können ich mir Hinweise entgegen senden?Die Dank, die Ö",1,Software
Ein betrifft dieses Design der entsprechenden Tools,"Sehr liebe Kollegen und Damen, Ich bin mit [UNK] Valuation Tools Blog mittlerweile erfolgreich und wollte fragen, wie mir das Upgrade zur deutschen Version sagen würde?Unser Fahrer bestätigt weiterhin, dass Maschinen immer mit unseren neuesten Software arbeiten können, und uns wünschen, das Update bald durchzuführen.Werden Sie uns aber ein Angebot zukommen lassen?Vielen Dank zu Fußball auch wegen besten Grüßen, Vera Salzburg",2,Software
absolute Hauptsache,"Sehr Viele Damen und Richter, Heute stellen Sie meine Rechnung und uns die Verschiedene Zahlen zu.",1,Buchhaltung
Netzwerkkarte defekt die Fakten unbekannt,"All verschiedene Herren oder Herren, bitte helfen Sie mir.Meine Wohnung, welche ich bei Ihnen gekauft habe, wird nun nicht mehr, sondern ich kann keinerlei Zugehörigkeit zum Internet herstellen.eine habe diverse Diagnosen eingereicht, aber jede Feststellung.Ich bin worauf diese Sprache wohl angewiesen und ohne eine Lösung!Der Dank dieser Voraus.Aus Roten Grüßen, Samed [UNK]",3,Hardware
Probleme mit Spiegelloser Kamera,"Hallo Kundensupport, meine Spiegellose Kamera zeigt ab und zu Streifen auf den Fotos. Das passiert, egal welche Lichtverhältnisse vorliegen oder welche Linse ich nutze. Habe die neusten Firmware-Updates installiert, aber das Problem bleibt. Danke, Ivanka Ivanov.",1,Hardware
Rechnungsfrage zur letzten Transaktion,"Sehr geehrte Damen und Herren, 

ich benötige  eine Kopie der Rechnung für die letzte Transaktion vom 3. Oktober 2023 (#345743). Diese wird vom Steuerberater für die zeitnahe Steuererklärung benötigt. Können Sie die Rechnung bitte so schnell wie möglich zuschicken? 

Vielen Dank im Voraus.
Mit freundlichen Grüßen, 
Emine Beck",3,Buchhaltung
Direkt vor dem Touch - International,"1000 hohe Damen Die Herren, mein bestes Touch - EP war nicht richtig an Eingaben.Ob Sie sich das jeweils erlauben?Emp, Austria International",2,Hardware
Desktop-Computer startet nicht nach Stromausfall,"Guten Tag, nach dem letzten Stromausfall startet mein Desktop-Computer nicht mehr. Ich habe schon alle Kabel überprüft und das Gerät an verschiedene Steckdosen angeschlossen, aber ohne Erfolg. Können Sie mir bitte weiterhelfen? Meine Kundennummer ist 45782-AB.",2,Hardware
Problem mit monatlichem Gehaltsnachweis in Buchhaltungssystem,"Sehr geehrte Damen und Herren, ich habe eine Frage zu meinem monatlichen Gehaltsnachweis im Buchhaltungssystem. Der Gehaltsbeleg für den letzten Monat scheint im System nicht auf, und ich benötige ihn  für meine Unterlagen. Können Sie bitte überprüfen, wo der Fehler liegen könnte? Vielen Dank. Mit freundlichen Grüßen, Falk Tosun",2,Buchhaltung
Kleine Unstimmigkeit in QGIS entdeckt,"Hallo Kundensupport, beim Verwenden Ihrer Software QGIS ist mir ein kleiner Fehler aufgefallen. Beim Importieren von Shapefiles aus bestimmten Datenquellen kommt es gelegentlich zu Abstürzen. Der Fehler ist nicht , aber ich wollte ihn melden, damit er behoben werden kann. Vielen Dank, Nic Büttner",1,Software
ja nicht mehr [UNK] Mitarbeiteranfrage,"Über, ich selber eine Kopie zu einer unserer letzten Rechnungen.Soweit Sie den Wechsel der Empfängers auf Jan Müller übertragen?Es kümmert sich um die Namen Alt.das ist für gewerbliche Kirche erforderlich.Vielen obliegt uns Ihre Existenz!Beste Artikel, eine Buchholz",1,Buchhaltung
Über - ein unbekannt,"Sehr geehrte Lieben und Herren, ich kann seit Erfüllung meiner vollständigen Rechnung ( Nr # 492837 ) deren Erstattung nicht dem neuen Anbieter [UNK] Service Solutions GmbH [UNK].diese bisherigen Daten existieren von [UNK] US Technologies [UNK].Ist bei Anpassung zulässig?Keine neuen Grüßen, Ingo Nagel",2,Buchhaltung
Probleme ihrer konkreten Namen,"Das du, mein bei Ihnen selbst PC spielt plötzlich keinen Klang mehr.Alle üblichen Maßnahmen waren und, weitgehend ohne Erfolg.75?das, der Thom",2,Hardware
RMA-Anfrage für defekten Logic Analyzer,"Sehr geehrte Damen und Herren, mein Logic Analyzer funktioniert nicht mehr, trotz richtiger Verwendung.",3,Hardware
Anfrage zur Nutzung von Crypto Wallets,"Sehr geehrte Damen und Herren, Ich habe eine Frage zur Benutzung Ihres Produktes Crypto Wallets. Es funktioniert soweit gut, aber ich würde gerne wissen, ob es eine Anleitung oder ein Tutorial gibt, das ich nutzen kann. Es wäre hilfreich; keine Dringlichkeit. Beste Grüße, Achmed Bloch",1,Software
Des Tracking dies jeweils ab -,"Die betroffene Frauen alle Herren, mein GPS Tracking Programm verweigert dauernd einen Schwei.ich halte es für meine Aufgaben im Außendienst.Eine Inanspruchnahme hat keine statt.Bitte immer schnelle Klagen!Dies gegenüber, Dieses Loch",3,Software
Anfrage bezüglich meiner Datenschutzdaten,"Sehr geehrte Damen und Herren, im Rahmen der DSGVO möchte ich einen Überblick darüber erhalten, welche persönlichen Daten von mir bei Ihnen gespeichert sind. Bitte senden Sie mir eine Kopie aller Informationen an meine registrierte E-Mail-Adresse. Zudem möchte ich wissen, wie lange diese Daten aufbewahrt werden. Vielen Dank, Sadri Heckel",3,Buchhaltung
Kleine Problem mit Reinsurance Software,"Sehr geehrter Kundensupport, ich habe eine kleine Problem festgestellt: Die Reinsurance  zeigt bei der Performance-Auswertung inkorrekte Daten an. Es ist kein dringlicher Fehler, aber es wäre gut, wenn das behoben werden könnte. Vielen Dank, Suat Behrend.",1,Software
Bluetooth Adapter funktioniert nicht richtig,"Hallo Support-Team,
ich habe vor ein paar Wochen einen Bluetooth Adapter bei Ihnen gekauft. Er verliert nach kurzer Zeit die Verbindung oder stellt diese erst gar nicht her. Gibt es hierfür ein Update oder eine Möglichkeit, das Problem zu beheben?
Liebe Grüße,
Andrea Berg",1,Hardware
Soundkarte nach Installation fehlerhaft,"Guten Tag,
ich habe die von Ihnen gekaufte Soundkarte installiert, aber der Ton ist kratzig und hin und wieder fällt er komplett aus. Können Sie mir bitte weiterhelfen? Es ist keine zeitkritische Anfrage.
Vielen Dank,
Silvia Pfeiffer",1,Hardware
Evernote - Anzeigeproblem bei Notizen,"Hallo Support-Team, bei meiner Evernote-Umgebung werden Notizen seit dem letzten Update fehlerhaft angezeigt. Einige Texte überschneiden sich und sind nicht mehr lesbar. Das Problem tritt auf verschiedenen Geräten auf. Könntet Ihr bitte auch einen Blick darauf werfen und eine Lösung anbieten? Vielen Dank, Adis Körber",1,Software
Klagen aus Hannover - Ear - Hannover,"Nein [UNK] - Ich, das Kabel von Tochter - Ear - Kopfhörer Total gebrochen, das soll ich tun?Part.",1,Hardware
" - Zigbee Antenna defekt, kein Empfang mehr","Sehr geehrte Damen und Herren,

meine gekaufte Zigbee Antenna funktioniert plötzlich nicht mehr. Ich habe das Produkt  im Einsatz für ein Projekt und benötige sofortigen Ersatz oder eine Reparatur.
Bitte um schnellstmögliche Klärung.

Mit freundlichen Grüßen,
Dorthe Hülsmann",3,Hardware
After Music - all DS seit 1979,"Private Support - Team, seit jenem folgenden Tag auf After City läuft mein System sehr rund und es kommt immer wieder zu neuen Ereignissen.Ich musste schon verschiedene Sachen gesucht, doch es hat nicht stattgefunden.Was will ich denn?Hohe Normen, die Gebauer",2,Software
: USB-Stick wird nicht erkannt,"Sehr geehrte Damen und Herren,
mein neuer USB-Stick (Bestellnummer: 4711-09-8765) wird von keinem meiner Geräte erkannt.  Daten sind darauf gespeichert, und ich benötige sofortige Hilfe.
Vielen Dank, Gülcin Uwe",3,Hardware
Angebot für Softwareentwicklung erforderlich,"Hallo Team, ich benötige ein Angebot für die Entwicklung einer neuen Web-Anwendung und Mobile-App. Könnt ihr mir dazu die Konditionen und möglichen Starttermin zukommen lassen? Beste Grüße, Janine Aydin",2,Buchhaltung
Microsoft Edge äußerst langsam nach Update,"Sehr geehrte Damen und Herren,
nach dem letzten Update funktioniert Microsoft Edge extrem langsam bei mir. Ich verwende es beruflich daher beeinträchtigt das meine Arbeit erheblich. Können Sie bitte nach einer Lösung suchen?
Mit freundlichen Grüßen,
Manfred Koch",2,Software
Ansprüche reagiert aktuell zurückgenommen,"Hallo, [UNK] Smartwatch startet selbst einem ersten Update nicht hinreichend.Titel kamen typisch für meinen Alltag.Selbstver, International Records",3,Hardware
Wechsel nach Jahresabschluss,"Sehr geehrte Kunden meines Herren, mein Name egal [UNK] Hüb, Kundennummer 78456.Sie nehme zahlreiche Fragen zum Jahresabschluss unserer Abteilung und benötige darum unbedingt Hilfe.Vorliegend geht insoweit um die Zuordnung zu bestimmten Kostenstellen zu Kosten.Woll Sie mir bitte diesen genauen Beleg und alle entsprechenden Fakten zur Verfügung stellen?Bei freundlichen Grüßen, und Müller",2,Buchhaltung
SEO Tools – Problem nach letztem Update,"Hallo Support-Team, nach dem letzten Update meiner SEO Tools gibt es ständig Fehlermeldungen und die Analyse dauert viel länger als vorher. Was kann ich tun, um das Problem zu beheben? Danke und viele Grüße, Elena Müller",2,Software
Aussagen vom Jahresende International 1993,"Was zu se - aus, Ich habe eine technische Frage zu dem Namen aufgenommen.",1,Hardware
Deren DIN - 61 oder Z63 ist nicht mehr,"Die Support - Team, meine Hütte Hannover Immobilien GmbH ist neu in.Mein Gehalt war so aber ich kann nicht mehr arbeiten.Hilfe Tä!Mit freundlichen Grü, die Netto",3,Hardware
Summe : ab Update Zu einigen Einheiten,"Hallo irgend - nicht, würde ich in ann paar Jahren ein Down von mein Debütalbum erhalten?Im Grunde läuft alles, aber über sie wäre das hilfreich.Danke, [UNK] Berger",1,Software
Schlager im November,"Oft geehrte Herren und Herren, bitte senden zu uns umgehend Lieferantenrechnungen für die Zeitraum Mitte 2007.Dieses Buchhaltungssystem wurde aktualisiert beziehungsweise übernimmt zusätzliche Dokumente für das Abschluss.Mit freundlichen Dingen, nicht etc",1,Buchhaltung
Anti-Money Laundering stürzt nach Update ab,"Hallo Support, nach dem letzten Update startet Anti-Money Laundering nicht mehr. Wir benötigen  Hilfe für unsere Compliance.",3,Software
